RegionID,SizeRank,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2243,95,Davidson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,202590,204865,207606,209840,211347,212718,214563,216644,218592,220935,222727,225345,227293,229184,231136,233825,236802,239614,241898,244141,246327,248179,250469,252618,254947,256922,258511,259700,260454,261282,262549,264048,265532,266632,267221,267653,268241,269048,269575,270016,270956,272004,272846,273470,274162,275268,276675,278155,279597,281119,283083
3016,247,Rutherford County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,149,164861,166805,168768,170640,171725,172812,174247,175838,177386,179036,181083,183304,185505,187201,188436,190052,192248,194636,196428,197928,199608,201043,202446,204189,206157,208586,210781,212038,212806,213520,215249,217373,219177,220625,221236,221515,221844,222309,223069,224256,225557,226793,227437,227847,228372,229245,230684,232141,233416,234405,235369
3080,335,Williamson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,187,308562,310595,311700,312984,314437,316798,319743,322163,324545,326829,328767,330801,332467,334424,337146,340028,342745,344980,347179,349766,351683,353403,355244,357191,359677,362329,363801,365054,365280,366066,366490,367466,368418,369659,371265,372760,373188,372788,373215,374114,375587,376655,377849,378468,379398,380186,380697,381196,382326,383924,385295
1407,382,Sumner County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,165,194879,198552,202513,204447,206219,207559,209263,210800,213101,214962,216973,218433,219373,220222,221392,223153,225118,226761,228568,230748,232807,234825,236479,238615,241073,243665,245253,246634,247589,248891,249454,250300,252571,255207,257492,258280,258407,258728,259115,259613,259890,260303,260934,260997,259661,257982,256566,256004,255603,254769,254032
1496,522,Wilson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,189,222658,224040,225373,227069,228714,230661,232782,234957,236878,238876,240481,242304,243536,244979,246531,248588,250486,251929,253239,255008,256921,258830,260548,262463,264804,267199,269218,270479,271867,273061,274300,275623,276970,278473,279145,279685,280090,280412,280674,280746,281036,281712,282346,282648,282898,283013,283942,284840,285777,286719,287884
632,680,Maury County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,119,169696,170467,171170,172431,174084,175844,177245,178554,179974,181631,183597,185843,188283,190157,192059,193868,196156,198925,201891,204540,206645,208019,209503,211408,213804,216561,218706,220488,221653,222447,222553,223606,225132,227436,228762,228833,228886,228523,229268,229851,230749,231618,233017,233886,234688,235252,236519,238557,240391,242585,244325
2834,791,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,167406,168645,170136,171864,173607,175237,177013,178876,180375,182037,183483,185019,185328,186077,186871,188736,190363,192267,193775,195340,196852,198353,200333,202797,205907,208001,209825,211398,213403,215284,216393,217275,218058,218955,219473,218861,217971,217476,217758,217960,217904,217720,218376,219317,220548,221812,223270,225493,228077,231001,233709
1668,983,Dickson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,144456,144951,144480,144612,144416,144551,144520,145797,147144,149016,150704,152322,153782,154990,157039,159294,161076,162473,163852,164925,166622,168279,170600,171675,172742,173793,175451,176850,179131,181253,183107,183988,185017,185422,187085,189209,192662,194459,195590,196340,197069,198157,199489,201449,202897,204727,205158,205879,205543,206597,207634
2185,1193,Cheatham County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,21,167247,168671,170182,170055,170925,171578,173687,174853,176597,178345,180600,183419,185701,188679,190803,193299,194101,195541,197055,200736,204858,207167,208387,208752,209120,207800,206272,206854,208649,211091,212392,213178,212317,212711,213540,215623,216550,219470,222170,224389,225311,225690,226605,226975,228276,229379,230455,230638,231660,231599,231849
1773,1614,Hickman County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,81,105484,105857,106155,106807,107279,107728,108118,108561,108900,109276,109715,110138,110859,111492,112330,112921,113572,114380,115052,115868,116564,117372,117981,118595,119243,119970,120766,121464,122222,122992,123811,124584,125326,126259,127179,127649,128132,128357,128982,129318,129849,130153,130488,130764,131131,131260,131463,131992,132405,132966,133110
