RegionID,SizeRank,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2243,95,Davidson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,183683,185523,188186,190365,191728,192566,194305,196425,198863,200839,202130,204061,205536,207228,208880,211104,213537,215989,217877,219127,220097,221307,223084,224795,226774,227433,227796,227504,227851,228044,228647,229293,229833,230050,230088,230441,230747,231381,231092,230712,230459,230839,231040,231549,232338,233526,234858,236057,237426,239354,242378
3016,247,Rutherford County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,149,147319,149234,151071,152700,153569,154341,155467,156787,158314,159871,162207,163908,167113,169572,172223,174444,176845,179083,179908,180209,181300,182440,184084,186073,187989,190333,191905,192010,191240,190804,192708,195203,197051,198790,199934,200710,199612,198952,198829,201064,203352,205499,206538,207363,208283,209351,210556,212138,214986,217504,220059
3080,335,Williamson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,187,,,,,,,,313581,308923,305345,298770,294122,289614,285246,281576,279011,277454,276580,277502,278465,280691,282207,284324,284831,286572,289215,291915,294134,295541,296748,295115,294481,294278,296506,296162,296610,297226,298780,300228,301037,302524,303992,306788,309009,310756,311225,313088,314736,316092,316751,317447
1407,382,Sumner County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,165,134686,137586,140295,141676,143062,144448,146129,147730,149671,150973,152363,153333,153751,154115,154666,156001,157437,158675,159861,161460,162971,164742,166164,168034,170403,172715,174277,175291,175851,176687,177059,177997,179196,181044,182661,184598,185970,187634,188216,188733,189262,190718,192482,193602,194554,195068,196049,196711,197712,198593,200762
1496,522,Wilson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,189,166048,166994,168724,170484,172190,173985,175676,177544,179118,181598,183352,185367,187092,188702,190180,191554,193184,194595,196024,198064,200358,201689,202842,204180,205233,206663,207650,209403,211134,212407,214407,215832,217658,218556,218724,219107,219792,220809,221684,222097,222483,223142,223236,223431,223234,224031,225598,226815,227969,228664,229682
632,680,Maury County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,119,96630,96626,96776,97511,98741,100325,101754,102639,103352,103522,104419,106375,108653,110209,111138,111886,113049,114728,116482,117977,119287,120820,122223,122983,122697,122907,123596,125113,125834,125966,126758,128106,130278,132488,134630,135719,136921,138406,140489,142277,144343,146383,147914,149336,150307,151337,152367,154446,156999,159249,160882
2834,791,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,103692,103614,103687,104227,104957,105676,106553,107688,108788,109716,110801,112060,115014,118366,121617,123338,125064,126701,128628,130006,130829,130580,130902,132197,132083,131195,130310,131314,132870,133717,133663,133786,133743,134938,135427,136294,136468,136799,136307,136166,135349,135412,136087,137033,138565,139921,141697,142922,145297,148193,152155
1668,983,Dickson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,88679,88950,88726,88822,88739,88706,88753,89610,90493,91559,93028,93883,95001,95601,97392,98809,100275,101301,101841,102317,103466,105061,105849,106133,106272,107259,107822,108369,109190,110398,112072,112775,113413,113218,114483,116385,118969,120376,121103,121825,122622,123507,124270,125686,126790,128308,128962,129519,129522,130188,131380
2185,1193,Cheatham County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,21,100693,101947,103377,103842,104489,104915,106082,106845,108370,109764,111185,112950,114594,116533,117740,119002,119444,120191,120984,123243,125901,127832,128870,129573,129920,129251,128503,129022,130503,132334,133342,133968,133394,133885,134518,136350,137446,139822,141649,143394,144350,144988,146056,146698,147873,148496,149367,149201,149690,149444,149720
1773,1614,Hickman County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,81,40828,41597,42095,42159,42369,42642,42901,43003,43153,43298,43363,43193,42983,42668,42774,43367,43954,44422,44712,45076,45476,45836,46334,46778,46983,47054,47075,47187,47500,47791,48072,48439,49120,49822,50364,50965,52033,52961,53268,53179,53085,53350,53751,54120,54272,54488,54847,55286,55545,56065,57087
